year,Donor,In-Donor Refugee Costs,Total ODA,GNI,IDRC as a share of GNI,ODA as a share of GNI
2012,Czechia,9.52413,219.635,182257.16,0.005,0.12
2012,Iceland,,26.12,12880.65,0.0,0.2
2012,Ireland,,808.36,172061.7,0.0,0.47
2012,Japan,,10604.51,6124543.94,0.0,0.17
2012,Luxembourg,,399.03,39752.01,0.0,1.0
2012,Portugal,,580.78,207031.61,0.0,0.28
2016,Czechia,18.01,260.24,182800.87,0.01,0.14
2016,Iceland,15.69,58.72,20647.67,0.076,0.28
2016,Ireland,1.07,802.59,251843.0,0.0,0.32
2016,Japan,,10416.8,5114538.52,0.0,0.2
2016,Luxembourg,,391.04,39073.95,0.0,1.0
2016,Portugal,4.33,343.07,200276.64,0.002,0.17
2021,Czechia,6.42,366.11,271374.68,0.002,0.13
2021,Iceland,4.33,70.84,25550.5,0.017,0.28
2021,Ireland,50.29,1154.89,382546.12,0.013,0.3
2021,Japan,,17635.87,5247997.32,0.0,0.34
2021,Luxembourg,,539.37,54600.28,0.0,0.99
2021,Portugal,11.05,458.94,250561.33,0.004,0.18
2022,Czechia,645.99,1051.26,276995.02,0.233,0.38
2022,Iceland,6.38,94.38,27890.11,0.023,0.34
2022,Ireland,1205.45,2410.23,382355.66,0.315,0.63
2022,Japan,53.96,17499.94,4502224.41,0.001,0.39
2022,Luxembourg,,530.12,53242.99,0.0,1.0
2022,Portugal,14.21,522.75,248062.36,0.006,0.21
2023,Czechia,20563.511220458327,,,,
2023,Iceland,15.513710849999997,,,,
2023,Ireland,2336.097076433333,,,,
2023,Japan,1.272575,,,,
2023,Luxembourg,,,,,
2023,Portugal,193.09309926666666,,,,
2024,Czechia,16012.014279958334,,,,
2024,Iceland,17.9372981,,,,
2024,Ireland,5259.802736633334,,,,
2024,Japan,1.329865,,,,
2024,Luxembourg,,,,,
2024,Portugal,249.94249628333336,,,,
