year,Donor,In-Donor Refugee Costs,Total ODA,GNI,IDRC as a share of GNI,ODA as a share of GNI
2012,Hungary,,118.38,119342.77,0.0,0.1
2012,Lithuania,,51.91,40820.6,0.0,0.13
2012,Poland,,421.06,468274.8,0.0,0.09
2012,Slovakia,,79.68,89925.56,0.0,0.09
2012,Slovenia,,58.45,44898.53,0.0,0.13
2012,South Korea,,1597.45,1135477.07,0.0,0.14
2016,Hungary,9.82,199.12,119914.19,0.008,0.17
2016,Lithuania,1.48,57.15,41074.09,0.004,0.14
2016,Poland,5.78,662.95,450712.71,0.001,0.15
2016,Slovakia,1.6,106.01,87580.45,0.002,0.12
2016,Slovenia,7.24,81.3,43461.57,0.017,0.19
2016,South Korea,,2246.16,1412380.0,0.0,0.16
2021,Hungary,1.38,435.06,155018.26,0.001,0.28
2021,Lithuania,1.91,86.39,63048.24976,0.003,0.14
2021,Poland,16.88,983.51,647670.0,0.003,0.15
2021,Slovakia,1.21,155.28,113338.35,0.001,0.14
2021,Slovenia,2.33,116.19,60869.77,0.004,0.19
2021,South Korea,,2872.51,1830320.2,0.0,0.16
2022,Hungary,,371.28,143306.39,0.0,0.26
2022,Lithuania,74.08,243.26,67925.75,0.109,0.36
2022,Poland,2193.43,3496.23,659420.78,0.333,0.53
2022,Slovakia,1.32,171.88,111699.96,0.001,0.15
2022,Slovenia,25.99,168.71,58826.48,0.044,0.29
2022,South Korea,10.8,2809.54,1698554.33,0.001,0.17
2023,Hungary,194.96657199999999,,,,
2023,Lithuania,112.213480625,,,,
2023,Poland,1119.6128895000002,,,,
2023,Slovakia,189.71510391666664,,,,
2023,Slovenia,5.738443200000001,,,,
2023,South Korea,,,,,
2024,Hungary,204.2088888,,,,
2024,Lithuania,127.84643237499999,,,,
2024,Poland,1229.9406219000002,,,,
2024,Slovakia,203.2301406833333,,,,
2024,Slovenia,5.794169333333333,,,,
2024,South Korea,,,,,
