iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,20 September 2022,2691903,Not applicable,2691903,Data not available
POL,Poland,20 September 2022,1391344,1391344,6284379,4326146
SVK,Slovakia,20 September 2022,94530,94334,798232,535983
MDA,Republic of Moldova,20 September 2022,91772,Not applicable,618738,266061
ROU,Romania,18 September 2022,80498,67064,1246945,959826
HUN,Hungary,20 September 2022,29903,29903,1424719,Data not available
BLR,Belarus,20 September 2022,13803,Not applicable,16705,Data not available
ALB,Albania,20 September 2022,2780,Not applicable,,
ARM,Armenia,20 September 2022,489,Not applicable,,
AUT,Austria,20 September 2022,81850,81850,,
AZE,Azerbaijan,12 August 2022,4218,Not applicable,,
BEL,Belgium,20 September 2022,56013,55340,,
BIH,Bosnia and Herzegovina,18 September 2022,228,Not applicable,,
BGR,Bulgaria,20 September 2022,61070,135113,,
HRV,Croatia,13 September 2022,17718,17717,,
CYP,Cyprus,20 September 2022,13580,16288,,
CZE,Czech Republic,19 September 2022,433488,433311,,
DNK,Denmark,13 September 2022,34577,32556,,
EST,Estonia,13 September 2022,54765,34490,,
FIN,Finland,13 September 2022,38588,38588,,
FRA,France,29 August 2022,101369,101369,,
GEO,Georgia,13 September 2022,26031,Not applicable,,
DEU,Germany,20 September 2022,1003029,709148,,
GRC,Greece,20 September 2022,19498,19498,,
ISL,Iceland,13 September 2022,1500,1500,,
IRL,Ireland,29 August 2022,46481,50423,,
ITA,Italy,13 September 2022,159968,153664,,
LVA,Latvia,13 September 2022,38104,39954,,
LIE,Liechtenstein,14 September 2022,300,300,,
LTU,Lithuania,13 September 2022,64950,65369,,
LUX,Luxembourg,20 September 2022,6561,6561,,
MLT,Malta,13 September 2022,1518,1420,,
MNE,Montenegro,20 September 2022,26745,6486,,
NLD,Netherlands,05 September 2022,76660,76660,,
MKD,North Macedonia,20 September 2022,5567,Not applicable,,
NOR,Norway,13 September 2022,26669,26669,,
PRT,Portugal,10 August 2022,49718,49623,,
SRB,Serbia,20 September 2022,19281,970,,
SVN,Slovenia,20 September 2022,8105,8105,,
ESP,Spain,18 September 2022,143345,143345,,
SWE,Sweden,13 September 2022,46938,45128,,
CHE,Switzerland,20 September 2022,64553,64553,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,19 September 2022,129000,129000,,
