iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,08 August 2022,2063463,Not applicable,2063463,Data not available
POL,Poland,08 August 2022,1256568,1256568,5247980,3236612
MDA,Republic of Moldova,03 August 2022,88018,Not applicable,558332,190374
SVK,Slovakia,09 August 2022,87030,86834,665796,399519
ROU,Romania,08 August 2022,83827,50857,964874,616909
HUN,Hungary,09 August 2022,27861,27861,1131385,Data not available
BLR,Belarus,08 August 2022,10857,Not applicable,16685,Data not available
ALB,Albania,09 August 2022,2780,Not applicable,,
ARM,Armenia,02 August 2022,489,Not applicable,,
AUT,Austria,09 August 2022,77301,77301,,
AZE,Azerbaijan,26 July 2022,4810,Not applicable,,
BEL,Belgium,03 August 2022,53108,52483,,
BIH,Bosnia and Herzegovina,03 August 2022,223,Not applicable,,
BGR,Bulgaria,02 August 2022,85119,126527,,
HRV,Croatia,09 August 2022,16829,16828,,
CYP,Cyprus,08 August 2022,13113,14989,,
CZE,Czech Republic,09 August 2022,409008,408846,,
DNK,Denmark,02 August 2022,32400,30400,,
EST,Estonia,02 August 2022,48359,30913,,
FIN,Finland,02 August 2022,30372,34092,,
FRA,France,09 August 2022,96520,96520,,
GEO,Georgia,02 August 2022,25582,Not applicable,,
DEU,Germany,03 August 2022,915000,670000,,
GRC,Greece,31 July 2022,18043,18043,,
ISL,Iceland,02 August 2022,1215,1215,,
IRL,Ireland,03 August 2022,43521,46760,,
ITA,Italy,01 August 2022,157309,148676,,
LVA,Latvia,02 August 2022,35730,36607,,
LIE,Liechtenstein,09 August 2022,270,270,,
LTU,Lithuania,02 August 2022,60755,60755,,
LUX,Luxembourg,03 August 2022,5984,5984,,
MLT,Malta,24 July 2022,1351,1265,,
MNE,Montenegro,02 August 2022,9764,5734,,
NLD,Netherlands,05 July 2022,68050,68050,,
MKD,North Macedonia,03 August 2022,2481,Not applicable,,
NOR,Norway,02 August 2022,22085,22085,,
PRT,Portugal,19 July 2022,47847,47752,,
SRB,Serbia,03 August 2022,14366,870,,
SVN,Slovenia,09 August 2022,7010,7010,,
ESP,Spain,08 August 2022,133007,132917,,
SWE,Sweden,02 August 2022,43273,41403,,
CHE,Switzerland,09 August 2022,59834,58768,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,02 August 2022,107900,107900,,
