iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,05 September 2022,2490480,Not applicable,2490480,Data not available
POL,Poland,06 September 2022,1365810,1365810,5951510,3996142
SVK,Slovakia,06 September 2022,92491,92295,757851,496208
MDA,Republic of Moldova,06 September 2022,90439,Not applicable,600582,243611
ROU,Romania,05 September 2022,86178,59056,1169027,830890
HUN,Hungary,06 September 2022,29170,29170,1338276,Data not available
BLR,Belarus,06 September 2022,12505,Not applicable,16704,Data not available
ALB,Albania,06 September 2022,2780,Not applicable,,
ARM,Armenia,06 September 2022,489,Not applicable,,
AUT,Austria,06 September 2022,80534,80534,,
AZE,Azerbaijan,09 August 2022,4639,Not applicable,,
BEL,Belgium,06 September 2022,55130,54457,,
BIH,Bosnia and Herzegovina,07 September 2022,228,Not applicable,,
BGR,Bulgaria,06 September 2022,70503,132718,,
HRV,Croatia,06 September 2022,17718,17717,,
CYP,Cyprus,07 September 2022,13273,15801,,
CZE,Czech Republic,06 September 2022,427696,427521,,
DNK,Denmark,06 September 2022,34284,32263,,
EST,Estonia,06 September 2022,53778,33773,,
FIN,Finland,06 September 2022,36866,38000,,
FRA,France,29 August 2022,101369,101369,,
GEO,Georgia,06 September 2022,26232,Not applicable,,
DEU,Germany,06 September 2022,1003029,655800,,
GRC,Greece,06 September 2022,18663,18663,,
ISL,Iceland,06 September 2022,1500,1500,,
IRL,Ireland,29 August 2022,46481,50423,,
ITA,Italy,07 September 2022,159968,153664,,
LVA,Latvia,06 September 2022,37601,39439,,
LIE,Liechtenstein,31 August 2022,298,298,,
LTU,Lithuania,06 September 2022,64769,64769,,
LUX,Luxembourg,06 September 2022,6263,6263,,
MLT,Malta,30 August 2022,1459,1366,,
MNE,Montenegro,30 August 2022,24482,5975,,
NLD,Netherlands,05 September 2022,76660,76660,,
MKD,North Macedonia,07 September 2022,4753,Not applicable,,
NOR,Norway,06 September 2022,25868,25868,,
PRT,Portugal,10 August 2022,49718,49623,,
SRB,Serbia,07 September 2022,18174,945,,
SVN,Slovenia,06 September 2022,7279,7279,,
ESP,Spain,04 September 2022,140391,140297,,
SWE,Sweden,06 September 2022,46468,44651,,
CHE,Switzerland,06 September 2022,62432,61239,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,05 September 2022,122900,122900,,
