iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,01 August 2022,1857122,Not applicable,1952037,Data not available
POL,Poland,01 August 2022,1256568,1256568,5084448,3060227
SVK,Slovakia,01 August 2022,87027,86834,645819,379609
MDA,Republic of Moldova,31 July 2022,86880,Not applicable,555318,186744
ROU,Romania,31 July 2022,84357,50857,953086,603536
HUN,Hungary,01 August 2022,27316,27316,1082649,Data not available
BLR,Belarus,02 August 2022,10857,Not applicable,16682,Data not available
ALB,Albania,02 August 2022,2501,Not applicable,,
ARM,Armenia,02 August 2022,489,Not applicable,,
AUT,Austria,02 August 2022,77960,77960,,
AZE,Azerbaijan,19 July 2022,4799,Not applicable,,
BEL,Belgium,26 July 2022,52038,51413,,
BIH,Bosnia and Herzegovina,26 July 2022,222,Not applicable,,
BGR,Bulgaria,26 July 2022,86950,124489,,
HRV,Croatia,26 July 2022,15911,15910,,
CYP,Cyprus,26 July 2022,12860,14374,,
CZE,Czech Republic,26 July 2022,400559,400402,,
DNK,Denmark,26 July 2022,32116,30116,,
EST,Estonia,26 July 2022,47310,30291,,
FIN,Finland,26 July 2022,30372,32665,,
FRA,France,18 July 2022,92156,92156,,
GEO,Georgia,26 July 2022,24296,Not applicable,,
DEU,Germany,26 July 2022,915000,670000,,
GRC,Greece,12 July 2022,16804,16804,,
ISL,Iceland,26 July 2022,1215,1215,,
IRL,Ireland,26 July 2022,42764,45897,,
ITA,Italy,25 July 2022,154710,146451,,
LVA,Latvia,26 July 2022,35205,36109,,
LIE,Liechtenstein,26 July 2022,263,263,,
LTU,Lithuania,26 July 2022,60010,60010,,
LUX,Luxembourg,26 July 2022,5984,5984,,
MLT,Malta,24 July 2022,1351,1265,,
MNE,Montenegro,26 July 2022,9496,5552,,
NLD,Netherlands,05 July 2022,68050,68050,,
MKD,North Macedonia,26 July 2022,1985,Not applicable,,
NOR,Norway,26 July 2022,21484,21484,,
PRT,Portugal,19 July 2022,47847,47752,,
SRB,Serbia,26 July 2022,13482,873,,
SVN,Slovenia,26 July 2022,6894,6894,,
ESP,Spain,31 July 2022,131771,131681,,
SWE,Sweden,26 July 2022,42788,40928,,
CHE,Switzerland,26 July 2022,58643,57660,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,25 July 2022,104000,104000,,
