iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,19 July 2022,1745800,Not applicable,1745800,Data not available
POL,Poland,19 July 2022,1234718,1234718,4787154,2751289
MDA,Republic of Moldova,19 July 2022,86240,Not applicable,541323,171803
ROU,Romania,18 July 2022,84527,45530,870241,528256
SVK,Slovakia,19 July 2022,82184,81179,610201,342055
HUN,Hungary,19 July 2022,26563,26563,995637,Data not available
BLR,Belarus,19 July 2022,10771,Not applicable,16677,Data not available
ALB,Albania,12 July 2022,2192,Not applicable,,
ARM,Armenia,12 July 2022,489,Not applicable,,
AUT,Austria,05 July 2022,74492,74492,,
AZE,Azerbaijan,13 July 2022,4804,Not applicable,,
BEL,Belgium,12 July 2022,50789,50164,,
BIH,Bosnia and Herzegovina,13 July 2022,304,Not applicable,,
BGR,Bulgaria,11 July 2022,87510,121480,,
HRV,Croatia,05 July 2022,15380,15379,,
CYP,Cyprus,12 July 2022,12782,14215,,
CZE,Czech Republic,12 July 2022,391856,391703,,
DNK,Denmark,13 July 2022,31561,29561,,
EST,Estonia,12 July 2022,45935,29679,,
FIN,Finland,12 July 2022,30372,32446,,
FRA,France,04 July 2022,92156,92156,,
GEO,Georgia,12 July 2022,22529,Not applicable,,
DEU,Germany,12 July 2022,893000,670000,,
GRC,Greece,12 July 2022,16804,16804,,
ISL,Iceland,12 July 2022,1215,1215,,
IRL,Ireland,12 July 2022,40678,43400,,
ITA,Italy,06 July 2022,144838,138095,,
LVA,Latvia,12 July 2022,34738,35500,,
LIE,Liechtenstein,12 July 2022,246,246,,
LTU,Lithuania,12 July 2022,58971,58971,,
LUX,Luxembourg,12 July 2022,5775,5775,,
MLT,Malta,03 July 2022,1274,1196,,
MNE,Montenegro,05 July 2022,9394,4885,,
NLD,Netherlands,05 July 2022,68050,68050,,
MKD,North Macedonia,12 July 2022,1368,Not applicable,,
NOR,Norway,12 July 2022,20610,20610,,
PRT,Portugal,12 July 2022,47069,46974,,
SRB,Serbia,12 July 2022,11897,810,,
SVN,Slovenia,12 July 2022,6962,6962,,
ESP,Spain,12 July 2022,127750,127661,,
SWE,Sweden,12 July 2022,41776,39930,,
CHE,Switzerland,12 July 2022,57380,56496,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,12 July 2022,95400,95400,,
