iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,03 October 2022,2852395,Not applicable,2852395,Data not available
POL,Poland,06 December 2022,1529355,1529355,8040115,5942509
SVK,Slovakia,05 December 2022,102873,102675,985347,719979
ROU,Romania,04 December 2022,98103,91766,1624083,1293711
MDA,Republic of Moldova,06 December 2022,98027,Not applicable,714642,353519
HUN,Hungary,06 December 2022,32628,32628,1854278,Data not available
BLR,Belarus,06 December 2022,17260,Not applicable,16705,Data not available
ALB,Albania,29 November 2022,2505,Not applicable,,
ARM,Armenia,06 December 2022,360,Not applicable,,
AUT,Austria,06 December 2022,89244,89244,,
AZE,Azerbaijan,11 November 2022,3944,Not applicable,,
BEL,Belgium,29 November 2022,62181,61466,,
BIH,Bosnia and Herzegovina,06 December 2022,129,Not applicable,,
BGR,Bulgaria,29 November 2022,51516,146659,,
HRV,Croatia,06 December 2022,19403,19403,,
CYP,Cyprus,06 December 2022,14326,18972,,
CZE,Czech Republic,06 December 2022,467862,466872,,
DNK,Denmark,06 December 2022,38044,35996,,
EST,Estonia,06 December 2022,63850,40510,,
FIN,Finland,06 December 2022,47067,45267,,
FRA,France,31 October 2022,118994,118994,,
GEO,Georgia,15 November 2022,25204,Not applicable,,
DEU,Germany,22 November 2022,1021667,1021667,,
GRC,Greece,06 December 2022,20955,20955,,
ISL,Iceland,06 December 2022,1976,1976,,
IRL,Ireland,06 December 2022,58511,66065,,
ITA,Italy,06 December 2022,173231,164171,,
LVA,Latvia,06 December 2022,34439,43592,,
LIE,Liechtenstein,22 November 2022,364,364,,
LTU,Lithuania,06 December 2022,71367,71367,,
LUX,Luxembourg,25 October 2022,6756,6756,,
MLT,Malta,07 November 2022,1603,1541,,
MNE,Montenegro,06 December 2022,31122,7350,,
NLD,Netherlands,30 September 2022,79250,79250,,
MKD,North Macedonia,06 December 2022,6433,Not applicable,,
NOR,Norway,06 December 2022,34005,34005,,
PRT,Portugal,03 October 2022,52970,52875,,
SRB,Serbia,22 November 2022,22716,1092,,
SVN,Slovenia,29 November 2022,8655,8234,,
ESP,Spain,06 December 2022,156753,156753,,
SWE,Sweden,06 December 2022,49181,49181,,
CHE,Switzerland,06 December 2022,70730,70730,,
TUR,Türkiye,06 December 2022,46739,Not applicable,,
GBR,United Kingdom,29 November 2022,147800,147800,,
