iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,03 October 2022,2852395,Not applicable,2852395,Data not available
POL,Poland,18 October 2022,1449214,1449214,6947301,4943519
SVK,Slovakia,18 October 2022,97935,97737,867141,604067
MDA,Republic of Moldova,17 October 2022,94535,Not applicable,660498,302826
ROU,Romania,16 October 2022,83748,74203,1391826,1091440
HUN,Hungary,18 October 2022,30000,30000,1589558,Data not available
BLR,Belarus,18 October 2022,15853,Not applicable,16705,Data not available
ALB,Albania,11 October 2022,2622,Not applicable,,
ARM,Armenia,18 October 2022,489,Not applicable,,
AUT,Austria,18 October 2022,84076,84076,,
AZE,Azerbaijan,11 October 2022,3925,Not applicable,,
BEL,Belgium,17 October 2022,58019,57312,,
BIH,Bosnia and Herzegovina,16 October 2022,231,Not applicable,,
BGR,Bulgaria,18 October 2022,54878,140832,,
HRV,Croatia,18 October 2022,18400,18400,,
CYP,Cyprus,18 October 2022,14380,17379,,
CZE,Czech Republic,18 October 2022,448807,448625,,
DNK,Denmark,18 October 2022,36174,34142,,
EST,Estonia,14 October 2022,60302,37112,,
FIN,Finland,16 October 2022,38588,41771,,
FRA,France,26 September 2022,105000,105000,,
GEO,Georgia,11 October 2022,26793,Not applicable,,
DEU,Germany,08 October 2022,1002668,815134,,
GRC,Greece,18 October 2022,19752,19752,,
ISL,Iceland,18 October 2022,1766,1766,,
IRL,Ireland,10 October 2022,51904,56965,,
ITA,Italy,19 October 2022,171546,160673,,
LVA,Latvia,14 October 2022,39854,41528,,
LIE,Liechtenstein,12 October 2022,388,388,,
LTU,Lithuania,18 October 2022,68396,68396,,
LUX,Luxembourg,18 October 2022,6756,6756,,
MLT,Malta,13 September 2022,1518,1420,,
MNE,Montenegro,04 October 2022,27576,6647,,
NLD,Netherlands,30 September 2022,79250,79250,,
MKD,North Macedonia,18 October 2022,6123,Not applicable,,
NOR,Norway,14 October 2022,29699,29699,,
PRT,Portugal,03 October 2022,52970,52875,,
SRB,Serbia,18 October 2022,20967,1030,,
SVN,Slovenia,18 October 2022,8302,7895,,
ESP,Spain,17 October 2022,147930,147930,,
SWE,Sweden,14 October 2022,46983,46983,,
CHE,Switzerland,18 October 2022,66812,66812,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,18 October 2022,138400,138400,,
