iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,03 October 2022,2852395,Not applicable,2852395,Data not available
POL,Poland,29 November 2022,1521085,1521085,7885885,5806156
SVK,Slovakia,29 November 2022,102476,102278,970667,705384
MDA,Republic of Moldova,29 November 2022,96913,Not applicable,706906,348335
ROU,Romania,27 November 2022,94526,90348,1589800,1265900
HUN,Hungary,29 November 2022,32271,32271,1812974,Data not available
BLR,Belarus,29 November 2022,17209,Not applicable,16705,Data not available
ALB,Albania,29 November 2022,2505,Not applicable,,
ARM,Armenia,29 November 2022,360,Not applicable,,
AUT,Austria,29 November 2022,88748,88748,,
AZE,Azerbaijan,11 November 2022,3944,Not applicable,,
BEL,Belgium,29 November 2022,62181,61466,,
BIH,Bosnia and Herzegovina,15 November 2022,132,Not applicable,,
BGR,Bulgaria,29 November 2022,51516,146659,,
HRV,Croatia,29 November 2022,19259,19259,,
CYP,Cyprus,15 November 2022,14336,18287,,
CZE,Czech Republic,29 November 2022,464910,464701,,
DNK,Denmark,15 November 2022,36983,34945,,
EST,Estonia,15 November 2022,62239,38729,,
FIN,Finland,15 November 2022,38588,43807,,
FRA,France,31 October 2022,118994,118994,,
GEO,Georgia,15 November 2022,25204,Not applicable,,
DEU,Germany,22 November 2022,1021667,1021667,,
GRC,Greece,08 November 2022,19997,19997,,
ISL,Iceland,15 November 2022,1766,1766,,
IRL,Ireland,22 November 2022,58511,64279,,
ITA,Italy,29 November 2022,173231,165041,,
LVA,Latvia,15 November 2022,35283,42802,,
LIE,Liechtenstein,22 November 2022,364,364,,
LTU,Lithuania,22 November 2022,70667,70667,,
LUX,Luxembourg,25 October 2022,6756,6756,,
MLT,Malta,07 November 2022,1603,1541,,
MNE,Montenegro,01 November 2022,28639,6956,,
NLD,Netherlands,30 September 2022,79250,79250,,
MKD,North Macedonia,29 November 2022,6386,Not applicable,,
NOR,Norway,15 November 2022,32102,32102,,
PRT,Portugal,03 October 2022,52970,52875,,
SRB,Serbia,22 November 2022,22716,1092,,
SVN,Slovenia,29 November 2022,8655,8234,,
ESP,Spain,27 November 2022,155473,155473,,
SWE,Sweden,15 November 2022,48360,48360,,
CHE,Switzerland,22 November 2022,69607,69607,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,22 November 2022,146200,146200,,
