iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,03 October 2022,2852395,Not applicable,2852395,Data not available
POL,Poland,25 October 2022,1469032,1469032,7113589,5090535
SVK,Slovakia,25 October 2022,98770,98572,883374,620527
MDA,Republic of Moldova,25 October 2022,95728,Not applicable,670158,313078
ROU,Romania,23 October 2022,86206,76155,1426392,1120077
HUN,Hungary,25 October 2022,31290,31290,1628968,Data not available
BLR,Belarus,24 October 2022,15932,Not applicable,16705,Data not available
ALB,Albania,25 October 2022,2622,Not applicable,,
ARM,Armenia,25 October 2022,489,Not applicable,,
AUT,Austria,25 October 2022,84756,84756,,
AZE,Azerbaijan,11 October 2022,3925,Not applicable,,
BEL,Belgium,24 October 2022,58537,57830,,
BIH,Bosnia and Herzegovina,25 October 2022,131,Not applicable,,
BGR,Bulgaria,25 October 2022,55257,142806,,
HRV,Croatia,25 October 2022,18931,18929,,
CYP,Cyprus,25 October 2022,14404,17633,,
CZE,Czech Republic,25 October 2022,453103,452911,,
DNK,Denmark,25 October 2022,36449,34411,,
EST,Estonia,25 October 2022,60980,37662,,
FIN,Finland,25 October 2022,38588,42286,,
FRA,France,26 September 2022,105000,105000,,
GEO,Georgia,11 October 2022,26793,Not applicable,,
DEU,Germany,08 October 2022,1002668,815134,,
GRC,Greece,25 October 2022,19997,19997,,
ISL,Iceland,25 October 2022,1766,1766,,
IRL,Ireland,25 October 2022,55144,60508,,
ITA,Italy,19 October 2022,171546,160673,,
LVA,Latvia,25 October 2022,40163,41812,,
LIE,Liechtenstein,25 October 2022,403,403,,
LTU,Lithuania,25 October 2022,68925,68925,,
LUX,Luxembourg,25 October 2022,6756,6756,,
MLT,Malta,13 September 2022,1518,1420,,
MNE,Montenegro,04 October 2022,27576,6647,,
NLD,Netherlands,30 September 2022,79250,79250,,
MKD,North Macedonia,25 October 2022,6160,Not applicable,,
NOR,Norway,25 October 2022,30570,30570,,
PRT,Portugal,03 October 2022,52970,52875,,
SRB,Serbia,25 October 2022,21330,1040,,
SVN,Slovenia,25 October 2022,8308,7895,,
ESP,Spain,24 October 2022,149213,149213,,
SWE,Sweden,25 October 2022,47376,47376,,
CHE,Switzerland,25 October 2022,66812,66812,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,18 October 2022,138400,138400,,
