iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,03 October 2022,2852395,Not applicable,2852395,Data not available
POL,Poland,08 November 2022,1489155,1489155,7431013,5397716
SVK,Slovakia,08 November 2022,100041,99843,919112,655391
MDA,Republic of Moldova,08 November 2022,95928,Not applicable,685088,329301
ROU,Romania,06 November 2022,88831,80838,1493545,1179716
HUN,Hungary,08 November 2022,31290,31290,1709665,Data not available
BLR,Belarus,07 November 2022,16571,Not applicable,16705,Data not available
ALB,Albania,08 November 2022,2622,Not applicable,,
ARM,Armenia,08 November 2022,360,Not applicable,,
AUT,Austria,08 November 2022,85868,85868,,
AZE,Azerbaijan,11 October 2022,3925,Not applicable,,
BEL,Belgium,24 October 2022,58537,57830,,
BIH,Bosnia and Herzegovina,08 November 2022,130,Not applicable,,
BGR,Bulgaria,01 November 2022,55016,144018,,
HRV,Croatia,08 November 2022,19011,19011,,
CYP,Cyprus,08 November 2022,14818,18104,,
CZE,Czech Republic,08 November 2022,458679,458483,,
DNK,Denmark,08 November 2022,36983,34945,,
EST,Estonia,08 November 2022,62023,38729,,
FIN,Finland,08 November 2022,38588,43222,,
FRA,France,31 October 2022,118994,118994,,
GEO,Georgia,01 November 2022,24912,Not applicable,,
DEU,Germany,08 November 2022,1019789,1019789,,
GRC,Greece,08 November 2022,19997,19997,,
ISL,Iceland,08 November 2022,1766,1766,,
IRL,Ireland,08 November 2022,56829,62371,,
ITA,Italy,31 October 2022,171546,162586,,
LVA,Latvia,08 November 2022,35621,42522,,
LIE,Liechtenstein,08 November 2022,361,361,,
LTU,Lithuania,08 November 2022,69522,69751,,
LUX,Luxembourg,25 October 2022,6756,6756,,
MLT,Malta,07 November 2022,1603,1541,,
MNE,Montenegro,01 November 2022,28639,6956,,
NLD,Netherlands,30 September 2022,79250,79250,,
MKD,North Macedonia,08 November 2022,6265,Not applicable,,
NOR,Norway,08 November 2022,31798,31798,,
PRT,Portugal,03 October 2022,52970,52875,,
SRB,Serbia,08 November 2022,22019,1069,,
SVN,Slovenia,08 November 2022,8439,8022,,
ESP,Spain,07 November 2022,151786,151786,,
SWE,Sweden,08 November 2022,48087,48087,,
CHE,Switzerland,08 November 2022,68620,68620,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,08 November 2022,143100,143100,,
