iso_code,Country,Data Date,Individual refugees from Ukraine recorded across Europe,Refugees from Ukraine registered for Temporary Protection or similar national protection schemes,Border crossings from Ukraine*,Border crossings to Ukraine**
RUS,Russian Federation***,03 October 2022,2852395,Not applicable,2852395,Data not available
POL,Poland,22 November 2022,1507893,1507893,7583850,5528491
SVK,Slovakia,22 November 2022,101434,101236,953910,689521
MDA,Republic of Moldova,22 November 2022,96646,Not applicable,697937,340836
ROU,Romania,20 November 2022,92076,87885,1556746,1237151
HUN,Hungary,22 November 2022,32271,32271,1781852,Data not available
BLR,Belarus,22 November 2022,16433,Not applicable,16705,Data not available
ALB,Albania,15 November 2022,2505,Not applicable,,
ARM,Armenia,22 November 2022,360,Not applicable,,
AUT,Austria,22 November 2022,86903,86903,,
AZE,Azerbaijan,11 November 2022,3944,Not applicable,,
BEL,Belgium,22 November 2022,60241,59526,,
BIH,Bosnia and Herzegovina,15 November 2022,132,Not applicable,,
BGR,Bulgaria,22 November 2022,51864,146063,,
HRV,Croatia,22 November 2022,19134,19134,,
CYP,Cyprus,15 November 2022,14336,18287,,
CZE,Czech Republic,22 November 2022,462622,462413,,
DNK,Denmark,15 November 2022,36983,34945,,
EST,Estonia,15 November 2022,62239,38729,,
FIN,Finland,15 November 2022,38588,43807,,
FRA,France,31 October 2022,118994,118994,,
GEO,Georgia,15 November 2022,25204,Not applicable,,
DEU,Germany,22 November 2022,1021667,1021667,,
GRC,Greece,08 November 2022,19997,19997,,
ISL,Iceland,15 November 2022,1766,1766,,
IRL,Ireland,22 November 2022,58511,64279,,
ITA,Italy,22 November 2022,173231,164171,,
LVA,Latvia,15 November 2022,35283,42802,,
LIE,Liechtenstein,22 November 2022,364,364,,
LTU,Lithuania,22 November 2022,70667,70667,,
LUX,Luxembourg,25 October 2022,6756,6756,,
MLT,Malta,07 November 2022,1603,1541,,
MNE,Montenegro,01 November 2022,28639,6956,,
NLD,Netherlands,30 September 2022,79250,79250,,
MKD,North Macedonia,22 November 2022,6386,Not applicable,,
NOR,Norway,15 November 2022,32102,32102,,
PRT,Portugal,03 October 2022,52970,52875,,
SRB,Serbia,22 November 2022,22716,1092,,
SVN,Slovenia,22 November 2022,8490,8070,,
ESP,Spain,21 November 2022,154457,154457,,
SWE,Sweden,15 November 2022,48360,48360,,
CHE,Switzerland,22 November 2022,69607,69607,,
TUR,Türkiye,19 May 2022,145000,Not applicable,,
GBR,United Kingdom,22 November 2022,146200,146200,,
